metric,value,source,year
Filipinos who drink coffee daily (%),80,IntagriJournal / Corner Coffee Store,2024
Average cups per day,2.5,IntagriJournal,2024
Per capita consumption (kg/year),3.3,USDA / Helgi Library,2024
Households with coffee stocked (%),90,Corner Coffee Store,2024
Households buying coffee weekly (%),93,Corner Coffee Store,2024
Instant coffee share of consumption (%),90,USDA,2024
Fresh ground coffee share (%),7,MarketResearch / Euromonitor,2025
Coffee pods/capsules share (%),3,MarketResearch / Euromonitor,2025
Online coffee purchases share (%),15,Statista,2025
Coffee shop visit frequency (times/week),2.8,Euromonitor,2025
Avg spend per café visit (PHP),175,Euromonitor,2025
Premium coffee willing to pay more (%),45,Euromonitor,2025
Coffee for energy/alertness (%),62,Various surveys,2024
Coffee for social/meeting (%),23,Various surveys,2024
Coffee for taste/enjoyment (%),15,Various surveys,2024
PH rank - global coffee consumption,7th,ReportLinker,2024
PH rank - soluble coffee consumption,1st,Ashu Research / USDA,2024
PH rank - coffee production,30th,ReportLinker,2024
