year,market_size_billion_usd,cafes_bars_sales_billion_usd,consumer_foodservice_billion_usd,coffee_consumption_mt,per_capita_kg,specialist_coffee_shops_outlets,chained_outlets,independent_outlets,total_coffee_outlets_estimate
2019,1.22,2.01,11.8,305000,3.4,400,320,80,8500
2020,0.95,1.22,8.5,280000,3.05,350,280,70,7200
2021,1.05,1.35,9.2,290000,3.05,380,310,70,7600
2022,1.2,1.45,10.5,300000,3.15,450,370,80,8200
2023,1.42,1.59,12.5,311000,3.2,520,430,90,9000
2024,1.62,1.62,13.0,320000,3.3,620,520,100,10000
2025,1.82,1.74,14.0,329000,3.4,750,640,110,11200
2026,2.0,1.86,15.4,338000,3.5,880,760,120,12500
2027,2.15,1.96,16.1,345000,3.55,980,850,130,13500
2028,2.3,2.06,16.9,350000,3.6,1080,940,140,14500
